电影,总票房(元),今日票房(元),有效场次,废场,人次,上座率,操作
迟来的告白,43.57万,http://img.58921.com/sites/all/movie/files/protec/906c535f261714458a1c8711d73f2897.png,http://img.58921.com/sites/all/movie/files/protec/95f61207ed9b0a4cafc0a5c30a41f1b8.png,7,112,http://img.58921.com/sites/all/movie/files/protec/617e617ead165f3866164c3923dd8fc6.png,http://58921.com/content/film/9608/schedule/wangpiao/20191113
小轿车,4.8万,http://img.58921.com/sites/all/movie/files/protec/14b00736614dfc988840702b1f95b5be.png,http://img.58921.com/sites/all/movie/files/protec/6a90aba91fea7203f60da9ba0861af9a.png,4,64,http://img.58921.com/sites/all/movie/files/protec/69a21a3b6c29b8b825f96b0cdf3086a4.png,http://58921.com/content/film/9636/schedule/wangpiao/20191113
那座桥,28.66万,http://img.58921.com/sites/all/movie/files/protec/e4d0c44c71d5e2814ac6807772a8ba6c.png,http://img.58921.com/sites/all/movie/files/protec/5f2ba5cfc0a71975124f2017a93c5d77.png,6,72,http://img.58921.com/sites/all/movie/files/protec/54d64b70bd3c0854d968e8abd588c865.png,http://58921.com/content/film/9666/schedule/wangpiao/20191113
雪人奇缘,3388.96万,http://img.58921.com/sites/all/movie/files/protec/e9e4fcff01f1977c789ac9b2855f3f79.png,http://img.58921.com/sites/all/movie/files/protec/12d842654004b67f7fed41dec1910914.png,44,46,http://img.58921.com/sites/all/movie/files/protec/57d9f411d39c54a6344fbfc661559bb6.png,http://58921.com/content/film/9334/schedule/wangpiao/20191113
零零后,222.71万,http://img.58921.com/sites/all/movie/files/protec/3b36963ad1aa331157274e794e15fe09.png,http://img.58921.com/sites/all/movie/files/protec/95f61207ed9b0a4cafc0a5c30a41f1b8.png,4,45,http://img.58921.com/sites/all/movie/files/protec/54751ae72fca6bf3dc51ada34c3be7bd.png,http://58921.com/content/film/9497/schedule/wangpiao/20191113
我在耀瓷小镇等你,4.28万,http://img.58921.com/sites/all/movie/files/protec/54896cea6a7d5a3aa0583cb9f28c4582.png,http://img.58921.com/sites/all/movie/files/protec/95f61207ed9b0a4cafc0a5c30a41f1b8.png,6,24,http://img.58921.com/sites/all/movie/files/protec/42b3ebc017a2b350b16f2aa4e519e58e.png,http://58921.com/content/film/9543/schedule/wangpiao/20191113
深海特攻队之超能,48.7万,http://img.58921.com/sites/all/movie/files/protec/2051e4488c16d1d4c3f26133b11f3838.png,http://img.58921.com/sites/all/movie/files/protec/95f61207ed9b0a4cafc0a5c30a41f1b8.png,18,12,http://img.58921.com/sites/all/movie/files/protec/36a232e71c096bec209d6fc7a6af4c50.png,http://58921.com/content/film/9416/schedule/wangpiao/20191113
三傻闹地球,419.7万,http://img.58921.com/sites/all/movie/files/protec/0af6de54b815dc9d17b5f89d835030ea.png,http://img.58921.com/sites/all/movie/files/protec/95f61207ed9b0a4cafc0a5c30a41f1b8.png,38,10,http://img.58921.com/sites/all/movie/files/protec/390866ed00c63b60e7c4a2e3e2923e37.png,http://58921.com/content/film/9583/schedule/wangpiao/20191113
六欲天,170.61万,http://img.58921.com/sites/all/movie/files/protec/09ad342d92a3eb03459cb3a9a7479770.png,http://img.58921.com/sites/all/movie/files/protec/f563b12599df985df743af10c3ecb11d.png,22,6,http://img.58921.com/sites/all/movie/files/protec/e7b718c7edeff71cad3ef10ff973683e.png,http://58921.com/content/film/9584/schedule/wangpiao/20191113
搭秋千的人,3.88万,http://img.58921.com/sites/all/movie/files/protec/4377b93f038808dd3657959c128d8bf6.png,http://img.58921.com/sites/all/movie/files/protec/5f2ba5cfc0a71975124f2017a93c5d77.png,8,7,http://img.58921.com/sites/all/movie/files/protec/622fe67138af6dd78a916b57725827b8.png,http://58921.com/content/film/9661/schedule/wangpiao/20191113
海上钢琴师,73.99万,http://img.58921.com/sites/all/movie/files/protec/b94905fdd5d2e400a9248be0e58590bb.png,http://img.58921.com/sites/all/movie/files/protec/95f61207ed9b0a4cafc0a5c30a41f1b8.png,1,5,http://img.58921.com/sites/all/movie/files/protec/3735b263ff1f0b67b5fd170a061d79c7.png,http://58921.com/content/film/3100/schedule/wangpiao/20191113
侠路相逢,118.81万,http://img.58921.com/sites/all/movie/files/protec/65102bd3a60a288d9a96c311738f4192.png,http://img.58921.com/sites/all/movie/files/protec/5f2ba5cfc0a71975124f2017a93c5d77.png,9,7,http://img.58921.com/sites/all/movie/files/protec/87517e9c838280e4f802c53e3d9ddf4a.png,http://58921.com/content/film/8230/schedule/wangpiao/20191113
